id,Start_minutes,End_minutes,X,Y,Team,Action,Half,Player_Name,next_player,next_action,next_x,next_y,event_id,next_team,next_event_id,xt_value,Date,Game,League,Manager,Match_ID,Season,Opposition_Team,Shots,SoT,Goals_scored,Goals_conceded,Accurate passes,Inaccurate passes,Passes,xG,Unnamed: 31,XG,Team.1,Unnamed: 34
2880,78.62,78.95,48.6,54.3,Lamontville Golden Arrows,Accurate passes,2nd half,Pule Mmodi,Sera Motebang,Positional attacks,63.4,66.6,1597,Lamontville Golden Arrows,1598,0.0036052,12/04/2022,Mamelodi Sundowns vs Lamontville Golden Arrows - 6:0,PSL,Lehlohonolo Seema,174,2021/22,Mamelodi Sundowns,0,0,0,0,1,0,1,,,,,
2886,78.7,79.03,74.6,58.3,Lamontville Golden Arrows,Accurate passes,2nd half,Sera Motebang,Pule Mmodi,Positional attacks,73.1,53.3,1599,Lamontville Golden Arrows,1600,0,12/04/2022,Mamelodi Sundowns vs Lamontville Golden Arrows - 6:0,PSL,Lehlohonolo Seema,174,2021/22,Mamelodi Sundowns,0,0,0,0,1,0,1,,,,,
2896,78.77,79.1,61.8,62.2,Lamontville Golden Arrows,Accurate passes,2nd half,Nqobeko Dlamini,Pule Mmodi,Positional attacks,59.7,53.9,1604,Lamontville Golden Arrows,1605,-0.00133247,12/04/2022,Mamelodi Sundowns vs Lamontville Golden Arrows - 6:0,PSL,Lehlohonolo Seema,174,2021/22,Mamelodi Sundowns,0,0,0,0,1,0,1,,,,,
2897,78.82,79.15,59.7,53.9,Lamontville Golden Arrows,Accurate passes,2nd half,Pule Mmodi,Sera Motebang,Positional attacks,66.9,57.2,1605,Lamontville Golden Arrows,1606,0.00258534,12/04/2022,Mamelodi Sundowns vs Lamontville Golden Arrows - 6:0,PSL,Lehlohonolo Seema,174,2021/22,Mamelodi Sundowns,0,0,0,0,1,0,1,,,,,
2899,78.87,79.2,66.9,57.2,Lamontville Golden Arrows,Accurate passes,2nd half,Sera Motebang,Nqobeko Dlamini,Positional attacks,60.5,61.5,1606,Lamontville Golden Arrows,1607,-0.00396751,12/04/2022,Mamelodi Sundowns vs Lamontville Golden Arrows - 6:0,PSL,Lehlohonolo Seema,174,2021/22,Mamelodi Sundowns,0,0,0,0,1,0,1,,,,,
2901,78.88,79.22,60.5,61.5,Lamontville Golden Arrows,Accurate passes,2nd half,Nqobeko Dlamini,Velemseni Ndwandwe,Positional attacks,59.7,52.2,1607,Lamontville Golden Arrows,1608,0.00138217,12/04/2022,Mamelodi Sundowns vs Lamontville Golden Arrows - 6:0,PSL,Lehlohonolo Seema,174,2021/22,Mamelodi Sundowns,0,0,0,0,1,0,1,,,,,
2903,78.9,79.23,59.7,52.2,Lamontville Golden Arrows,Accurate passes,2nd half,Velemseni Ndwandwe,Nqobeko Dlamini,Positional attacks,61.6,59.3,1608,Lamontville Golden Arrows,1609,0.00258534,12/04/2022,Mamelodi Sundowns vs Lamontville Golden Arrows - 6:0,PSL,Lehlohonolo Seema,174,2021/22,Mamelodi Sundowns,0,0,0,0,1,0,1,,,,,
2906,78.95,79.28,61.6,59.3,Lamontville Golden Arrows,Accurate passes,2nd half,Nqobeko Dlamini,Velemseni Ndwandwe,Positional attacks,72.3,53.4,1609,Lamontville Golden Arrows,1610,0.00531174,12/04/2022,Mamelodi Sundowns vs Lamontville Golden Arrows - 6:0,PSL,Lehlohonolo Seema,174,2021/22,Mamelodi Sundowns,0,0,0,0,1,0,1,,,,,
2908,78.98,79.32,72.3,53.4,Lamontville Golden Arrows,Accurate passes,2nd half,Velemseni Ndwandwe,Pule Mmodi,Positional attacks,76.4,60.7,1610,Lamontville Golden Arrows,1611,-0.00279392,12/04/2022,Mamelodi Sundowns vs Lamontville Golden Arrows - 6:0,PSL,Lehlohonolo Seema,174,2021/22,Mamelodi Sundowns,0,0,0,0,1,0,1,,,,,
2909,79,79.33,76.4,60.7,Lamontville Golden Arrows,Accurate passes,2nd half,Pule Mmodi,Themba Mantshiyane,Positional attacks,84.9,67.6,1611,Lamontville Golden Arrows,1612,0.00634183,12/04/2022,Mamelodi Sundowns vs Lamontville Golden Arrows - 6:0,PSL,Lehlohonolo Seema,174,2021/22,Mamelodi Sundowns,0,0,0,0,1,0,1,,,,,
2911,79.05,79.38,84.9,67.6,Lamontville Golden Arrows,Accurate passes,2nd half,Themba Mantshiyane,Velemseni Ndwandwe,Positional attacks,80.2,64.4,1612,Lamontville Golden Arrows,1613,0,12/04/2022,Mamelodi Sundowns vs Lamontville Golden Arrows - 6:0,PSL,Lehlohonolo Seema,174,2021/22,Mamelodi Sundowns,0,0,0,0,1,0,1,,,,,
2914,79.08,79.42,80.2,64.4,Lamontville Golden Arrows,Accurate passes,2nd half,Velemseni Ndwandwe,Pule Mmodi,Positional attacks,88.1,55.2,1613,Lamontville Golden Arrows,1614,0.0131068,12/04/2022,Mamelodi Sundowns vs Lamontville Golden Arrows - 6:0,PSL,Lehlohonolo Seema,174,2021/22,Mamelodi Sundowns,0,0,0,0,1,0,1,,,,,
2918,79.13,79.47,86.8,52.9,Lamontville Golden Arrows,Accurate passes,2nd half,Pule Mmodi,Sera Motebang,Positional attacks,94,46.9,1615,Lamontville Golden Arrows,1616,0.02537866,12/04/2022,Mamelodi Sundowns vs Lamontville Golden Arrows - 6:0,PSL,Lehlohonolo Seema,174,2021/22,Mamelodi Sundowns,0,0,0,0,1,0,1,,,,,
2920,79.15,79.48,94,46.9,Lamontville Golden Arrows,Accurate passes,2nd half,Sera Motebang,Velemseni Ndwandwe,Positional attacks,86.5,46.7,1616,Lamontville Golden Arrows,1617,-0.02635936,12/04/2022,Mamelodi Sundowns vs Lamontville Golden Arrows - 6:0,PSL,Lehlohonolo Seema,174,2021/22,Mamelodi Sundowns,0,0,0,0,1,0,1,,,,,
2922,79.17,79.5,89.4,41.4,Lamontville Golden Arrows,Shots,2nd half,Velemseni Ndwandwe,Denis Onyango,Wide shot (Goalkeepers),15.6,26.6,1618,Mamelodi Sundowns,1619,0,12/04/2022,Mamelodi Sundowns vs Lamontville Golden Arrows - 6:0,PSL,Lehlohonolo Seema,174,2021/22,Mamelodi Sundowns,1,0,0,0,0,0,0,,,,,
2926,79.8,80.13,23.6,36.2,Mamelodi Sundowns,Accurate passes,2nd half,Themba Zwane,Mosa Lebusa,Accurate passes,22.8,46,1621,Mamelodi Sundowns,1622,-0.00015245,12/04/2022,Mamelodi Sundowns vs Lamontville Golden Arrows - 6:0,PSL,Manqoba Mngqithi/Rulani Mokeona,174,2021/22,Lamontville Golden Arrows,0,0,0,0,1,0,1,,,,,
2927,79.82,80.15,22.8,46,Mamelodi Sundowns,Accurate passes,2nd half,Mosa Lebusa,Neo Maema,Challenges won,38.6,42.2,1622,Mamelodi Sundowns,1623,0.00261342,12/04/2022,Mamelodi Sundowns vs Lamontville Golden Arrows - 6:0,PSL,Manqoba Mngqithi/Rulani Mokeona,174,2021/22,Lamontville Golden Arrows,0,0,0,0,1,0,1,,,,,
2931,79.93,80.27,41.8,41.5,Mamelodi Sundowns,Accurate passes,2nd half,Themba Zwane,Kermit Erasmus,Positional attacks,55.6,28.7,1625,Mamelodi Sundowns,1626,0.00426882,12/04/2022,Mamelodi Sundowns vs Lamontville Golden Arrows - 6:0,PSL,Manqoba Mngqithi/Rulani Mokeona,174,2021/22,Lamontville Golden Arrows,0,0,0,0,1,0,1,,,,,
2934,79.97,80.3,55.6,28.7,Mamelodi Sundowns,Accurate passes,2nd half,Kermit Erasmus,Lebohang Maboe,Positional attacks,72.1,2.8,1626,Mamelodi Sundowns,1627,0.00432601,12/04/2022,Mamelodi Sundowns vs Lamontville Golden Arrows - 6:0,PSL,Manqoba Mngqithi/Rulani Mokeona,174,2021/22,Lamontville Golden Arrows,0,0,0,0,1,0,1,,,,,
2937,80.12,80.45,83.7,5.3,Mamelodi Sundowns,Accurate passes,2nd half,Lebohang Maboe,Themba Zwane,Positional attacks,81.6,14.6,1628,Mamelodi Sundowns,1629,0.0019696,12/04/2022,Mamelodi Sundowns vs Lamontville Golden Arrows - 6:0,PSL,Manqoba Mngqithi/Rulani Mokeona,174,2021/22,Lamontville Golden Arrows,0,0,0,0,1,0,1,,,,,
2939,80.12,80.45,81.6,14.6,Mamelodi Sundowns,Accurate passes,2nd half,Themba Zwane,Mothobi Mvala,Positional attacks,85.7,20.5,1629,Mamelodi Sundowns,1630,-0.0009807,12/04/2022,Mamelodi Sundowns vs Lamontville Golden Arrows - 6:0,PSL,Manqoba Mngqithi/Rulani Mokeona,174,2021/22,Lamontville Golden Arrows,0,0,0,0,1,0,1,,,,,
2942,80.2,80.53,91.6,23.5,Mamelodi Sundowns,Accurate passes,2nd half,Mothobi Mvala,Lebohang Maboe,Positional attacks,94.2,12.7,1631,Mamelodi Sundowns,1632,-0.01424146,12/04/2022,Mamelodi Sundowns vs Lamontville Golden Arrows - 6:0,PSL,Manqoba Mngqithi/Rulani Mokeona,174,2021/22,Lamontville Golden Arrows,0,0,0,0,1,0,1,,,,,
2945,80.27,80.6,95.9,15.2,Mamelodi Sundowns,Accurate passes,2nd half,Lebohang Maboe,Kermit Erasmus,Positional attacks,85.7,15.3,1633,Mamelodi Sundowns,1634,-0.0111372,12/04/2022,Mamelodi Sundowns vs Lamontville Golden Arrows - 6:0,PSL,Manqoba Mngqithi/Rulani Mokeona,174,2021/22,Lamontville Golden Arrows,0,0,0,0,1,0,1,,,,,
2947,80.28,80.62,85.7,15.3,Mamelodi Sundowns,Accurate passes,2nd half,Kermit Erasmus,Themba Zwane,Positional attacks,81.4,15.9,1634,Mamelodi Sundowns,1635,0,12/04/2022,Mamelodi Sundowns vs Lamontville Golden Arrows - 6:0,PSL,Manqoba Mngqithi/Rulani Mokeona,174,2021/22,Lamontville Golden Arrows,0,0,0,0,1,0,1,,,,,
